description,title,country,region,postal code,locality,extend address,name
"
	KPN Düsseldorf is located in the area Düsseldorf, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 06-10-2007.",KPN Düsseldorf,Germany,,40470,Düsseldorf,KPN Düsseldorf,Koninklijke KPN N.V
"
	KPN CyberCenter Amsterdam is located in the area Schiphol-Rijk, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",KPN CyberCenter Amsterdam,The Netherlands,,1438 AN,Schiphol-Rijk,KPN CyberCenter Amsterdam,Koninklijke KPN N.V
"
	TelecityGroup London (Meridian Gate) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup London (Meridian Gate),United Kingdom,,E14 9FJ,London,TelecityGroup London (Meridian Gate),TelecityGroup
"
	TelecityGroup Milan is located in the area Milan (Milano), Italy (Italia), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Milan,Italy,,20144,Milan,TelecityGroup Milan,TelecityGroup
"
	TelecityGroup Manchester (Kilburn House) is located in the area Manchester, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Manchester (Kilburn House),United Kingdom,,M15 6SE,Manchester,TelecityGroup Manchester (Kilburn House),TelecityGroup
"
	TelecityGroup Manchester (Williams House) is located in the area Manchester, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Manchester (Williams House),United Kingdom,,M15 6SE,Manchester,TelecityGroup Manchester (Williams House),TelecityGroup
"
	TelecityGroup Amsterdam (Gyroscoopweg) is located in the area Amsterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Amsterdam (Gyroscoopweg),The Netherlands,,1042 AB,Amsterdam,TelecityGroup Amsterdam (Gyroscoopweg),TelecityGroup
"
	TelecityGroup London (Bellerive House) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup London (Bellerive House),United Kingdom,,E14 9SZ,London,TelecityGroup London (Bellerive House),TelecityGroup
"
	TelecityGroup DUB1 is located in the area Dublin, Ireland (Éire), and the colocation data center is  carrier neutral. The data center was last updated on 01-10-2015.",TelecityGroup DUB1,Ireland,,D24,Dublin,TelecityGroup DUB1,TelecityGroup
"
	TelecityGroup Amsterdam (Science Park) is located in the area Amsterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Amsterdam (Science Park),The Netherlands,,1098 SJ,Amsterdam,TelecityGroup Amsterdam (Science Park),TelecityGroup
"
	TelecityGroup Frankfurt (Gutleutstrasse) is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Frankfurt (Gutleutstrasse),Germany,,60327,Frankfurt,TelecityGroup Frankfurt (Gutleutstrasse),TelecityGroup
"
	TelecityGroup Frankfurt (Lyonerstrasse) is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Frankfurt (Lyonerstrasse),Germany,,60528,Frankfurt,TelecityGroup Frankfurt (Lyonerstrasse),TelecityGroup
"
	TelecityGroup Paris (Aubervilliers) is located in the area Paris, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Paris (Aubervilliers),France,,93534,Aubervilliers Cedex,TelecityGroup Paris (Aubervilliers),TelecityGroup
"
	TelecityGroup Paris (Courbevoie Cedex) is located in the area Paris, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Paris (Courbevoie Cedex),France,,92413,Paris,TelecityGroup Paris (Courbevoie Cedex),TelecityGroup
"
	TelecityGroup Amsterdam (South East) is located in the area Amsterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Amsterdam (South East),The Netherlands,,1101 AE,Amsterdam,TelecityGroup Amsterdam (South East),TelecityGroup
"
	TelecityGroup Stockholm is located in the area Stockholm, Sweden (Sverige), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup Stockholm,Sweden,,16865,Bromma,TelecityGroup Stockholm,TelecityGroup
"
	TelecityGroup London (Sovereign House) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup London (Sovereign House),United Kingdom,,E14 9SD,London,TelecityGroup London (Sovereign House),TelecityGroup
"
	TelecityGroup London (Bonnington House) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup London (Bonnington House),United Kingdom,,E14 9TR,London,TelecityGroup London (Bonnington House),TelecityGroup
"
	LCL Brussels is located in the area Brussels (Bruxelles), Belgium, and the colocation data center is  carrier neutral. The data center was last updated on 24-09-2007.",LCL Brussels,Belgium,,1831,Diegem,LCL Brussels,LCL Belgium n.v. / s.a.
"
	TelecityGroup London (Harbour Exchange2) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",TelecityGroup London (Harbour Exchange2),United Kingdom,,E14 9GE,London,TelecityGroup London (Harbour Exchange2),TelecityGroup
"
	LCL Antwerp is located in the area Antwerp (Antwerpen), Belgium, and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",LCL Antwerp,Belgium,,2000,Antwerp,LCL Antwerp,LCL Belgium n.v. / s.a.
"
	Park Tower is located in the area Tampa, USA (America).",Park Tower,,,,,,
"
	Terminal Commerce Building is located in the area Philadelphia, USA (America).",Terminal Commerce Building,,,,,,
"
	CarrierColo is located in the area Berlin, Germany (Deutschland).",CarrierColo,,,,,,
"
	tw telecom Memphis #2 is located in the area Memphis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Memphis #2,USA,Tennessee,38115,Memphis,tw telecom Memphis #2,tw telecom
"
	tw telecom Little Rock is located in the area Little Rock, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Little Rock,USA,Arkansas,72201,Little Rock,tw telecom Little Rock,tw telecom
"
	tw telecom Memphis #1 is located in the area Memphis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Memphis #1,USA,Tennessee,38018,Memphis,tw telecom Memphis #1,tw telecom
"
	tw telecom Mobile is located in the area Mobile, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Mobile,USA,Alabama,36602,Mobile,tw telecom Mobile,tw telecom
"
	tw telecom Montgomery #1 is located in the area Montgomery, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Montgomery #1,USA,Alabama,36104,Montgomery,tw telecom Montgomery #1,tw telecom
"
	tw telecom Montgomery #2 is located in the area Montgomery, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Montgomery #2,USA,Alabama,36116,Montgomery,tw telecom Montgomery #2,tw telecom
"
	tw telecom Gates is located in the area Rochester, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Gates,USA,New York,14624,Gates,tw telecom Gates,tw telecom
"
	tw telecom Syracuse is located in the area Rochester, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Syracuse,USA,New York,13202,Syracuse,tw telecom Syracuse,tw telecom
"
	tw telecom Santa Barbara is located in the area Santa Barbara, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Santa Barbara,USA,California,93111,Goleta,tw telecom Santa Barbara,tw telecom
"
	tw telecom San Luis Obispo is located in the area San Luis Obispo, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom San Luis Obispo,USA,California,93401,San Luis Obispo,tw telecom San Luis Obispo,tw telecom
"
	tw telecom Tucson is located in the area Tucson, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Tucson,USA,Arizona,85714,Tucson,tw telecom Tucson,tw telecom
"
	tw telecom Washington is located in the area Laurel, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Washington,USA,Maryland,20707,Laurel,tw telecom Washington,tw telecom
"
	tw telecom Manhattan is located in the area New York, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Manhattan,USA,New York,10023,New York,tw telecom Manhattan,tw telecom
"
	tw telecom Milwaukee is located in the area Milwaukee, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Milwaukee,USA,Wisconsin,53045,Brookfield,tw telecom Milwaukee,tw telecom
"
	tw telecom Greensboro is located in the area Greensboro, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Greensboro,USA,North Carolina,27409,Greensboro,tw telecom Greensboro,tw telecom
"
	tw telecom Lexington is located in the area Lexington, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Lexington,USA,Kentucky,40507,Lexington,tw telecom Lexington,tw telecom
"
	tw telecom Winston-Salem is located in the area Greensboro, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Winston-Salem,USA,North Carolina,276101,Winston-Salem,tw telecom Winston-Salem,tw telecom
"
	tw telecom Austin is located in the area Austin, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Austin,USA,Texas,78741,Austin,tw telecom Austin,tw telecom
"
	tw telecom Columbus GA is located in the area Columbus GA, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Columbus GA,USA,Georgia,31901,Columbus,tw telecom Columbus GA,tw telecom
"
	tw telecom Riverside is located in the area Inland Empire, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Riverside,USA,California,92507,Riverside,tw telecom Riverside,tw telecom
"
	tw telecom Columbia is located in the area Columbia, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Columbia,USA,South Carolina,29203,Columbia,tw telecom Columbia,tw telecom
"
	tw telecom Vancouver is located in the area Vancouver WA, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Vancouver,USA,Washington,98662,Vancouver,tw telecom Vancouver,tw telecom
"
	tw telecom Binghamton is located in the area Binghamton, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Binghamton,USA,New York,13901,Binghamton,tw telecom Binghamton,tw telecom
"
	tw telecom Bakersfield is located in the area Bakersfield, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Bakersfield,USA,California,93301,Bakersfield,tw telecom Bakersfield,tw telecom
"
	tw telecom Boise #2 is located in the area Boise, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Boise #2,USA,Idaho,83702,Boise,tw telecom Boise #2,tw telecom
"
	tw telecom Birmingham is located in the area Birmingham, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Birmingham,USA,Alabama,35203,Birmingham,tw telecom Birmingham,tw telecom
"
	tw telecom Boise #1 is located in the area Boise, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Boise #1,USA,Idaho,83702,Boise,tw telecom Boise #1,tw telecom
"
	tw telecom Dayton is located in the area Dayton, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Dayton,USA,Ohio,45402,Dayton,tw telecom Dayton,tw telecom
"
	tw telecom Fresno is located in the area Fresno, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Fresno,USA,California,93711,Fresno,tw telecom Fresno,tw telecom
"
	tw telecom Fort Lauderdale is located in the area Fort Lauderdale, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Fort Lauderdale,USA,Florida,33301,Fort Lauderdale,tw telecom Fort Lauderdale,tw telecom
"
	tw telecom San Antonio is located in the area San Antonio, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom San Antonio,USA,Texas,78216,San Antonio,tw telecom San Antonio,tw telecom
"
	tw telecom San Diego is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2008.",tw telecom San Diego,USA,California,92111,San Diego,tw telecom San Diego,tw telecom
"
	tw telecom Honolulu is located in the area Honolulu, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Honolulu,USA,Hawaii,96819,Honolulu,tw telecom Honolulu,tw telecom
"
	tw telecom Indianapolis is located in the area Indianapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Indianapolis,USA,Indiana,46268,Indianapolis,tw telecom Indianapolis,tw telecom
"
	tw telecom Las Vegas is located in the area Las Vegas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Las Vegas,USA,Nevada,89120,Las Vegas,tw telecom Las Vegas,tw telecom
"
	tw telecom Houston is located in the area Houston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Houston,USA,Texas,77040,Houston,tw telecom Houston,tw telecom
"
	tw telecom San Francisco is located in the area San Francisco, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom San Francisco,USA,California,94107,San Francisco,tw telecom San Francisco,tw telecom
"
	tw telecom Walnut Creek is located in the area San Francisco, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Walnut Creek,USA,California,94597,Walnut Creek,tw telecom Walnut Creek,tw telecom
"
	tw telecom Seattle is located in the area Seattle, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Seattle,USA,Washington,98109,Seattle,tw telecom Seattle,tw telecom
"
	tw telecom Phoenix #2 is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Phoenix #2,USA,Arizona,85012,Phoenix,tw telecom Phoenix #2,tw telecom
"
	tw telecom Berry Hill is located in the area Nashville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Berry Hill,USA,Tennessee,37211,Berry Hill,tw telecom Berry Hill,tw telecom
"
	tw telecom Phoenix #1 is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Phoenix #1,USA,Arizona,85012,Phoenix,tw telecom Phoenix #1,tw telecom
"
	tw telecom Dallas is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Dallas,USA,Texas,75247,Dallas,tw telecom Dallas,tw telecom
"
	tw telecom Nashville is located in the area Nashville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Nashville,USA,Tennessee,37228,Nashville,tw telecom Nashville,tw telecom
"
	tw telecom Ontario is located in the area Inland Empire, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2008.",tw telecom Ontario,USA,California,91761,Ontario,tw telecom Ontario,tw telecom
"
	tw telecom Atlanta is located in the area Atlanta, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Atlanta,USA,Georgia,30343,Atlanta,tw telecom Atlanta,tw telecom
"
	tw telecom Charlotte is located in the area Charlotte, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Charlotte,USA,North Carolina,28208,Charlotte,tw telecom Charlotte,tw telecom
"
	tw telecom Jacksonville is located in the area Jacksonville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Jacksonville,USA,Florida,32202,Jacksonville,tw telecom Jacksonville,tw telecom
"
	tw telecom Minnetonka is located in the area Minneapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Minnetonka,USA,Minnesota,55343,Minnetonka,tw telecom Minnetonka,tw telecom
"
	tw telecom Spokane is located in the area Spokane, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Spokane,USA,Washington,99201,Spokane,tw telecom Spokane,tw telecom
"
	tw telecom Durham is located in the area Raleigh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Durham,USA,North Carolina,27703,Durham,tw telecom Durham,tw telecom
"
	tw telecom Raleigh is located in the area Raleigh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Raleigh,USA,North Carolina,27604,Raleigh,tw telecom Raleigh,tw telecom
"
	tw telecom Orlando is located in the area Orlando, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Orlando,USA,Florida,32809,Oak Ridge,tw telecom Orlando,tw telecom
"
	tw telecom Orange County is located in the area Irvine, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Orange County,USA,California,92618,Irvine,tw telecom Orange County,tw telecom
"
	tw telecom Portland is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Portland,USA,Oregon,97204,Portland,tw telecom Portland,tw telecom
"
	tw telecom Cedar Hills is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Cedar Hills,USA,Oregon,97005,Cedar Hills,tw telecom Cedar Hills,tw telecom
"
	tw telecom Albany is located in the area Albany, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Albany,USA,New York,12205,Colonie,tw telecom Albany,tw telecom
"
	tw telecom Cincinnati is located in the area Cincinnati, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Cincinnati,USA,Ohio,45069,West Chester,tw telecom Cincinnati,tw telecom
"
	tw telecom Columbus OH #2 is located in the area Columbus, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Columbus OH #2,USA,Ohio,43215,Columbus,tw telecom Columbus OH #2,tw telecom
"
	tw telecom Albuquerque is located in the area Albuquerque, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Albuquerque,USA,New Mexico,87109,Albuquerque,tw telecom Albuquerque,tw telecom
"
	Itconic Data Center Madrid 2 is located in the area Madrid, Spain (España), and the colocation data center is  carrier neutral. The data center was last updated on 01-12-2016.",Itconic Data Center Madrid 2,Spain,,28108,Madrid,Itconic Data Center Madrid 2,Itconic S.A
"
	tw telecom Denver is located in the area Denver, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-02-2008.",tw telecom Denver,USA,Colorado,80012,Aurora,tw telecom Denver,tw telecom
"
	Itconic Data Center Lisbon is located in the area Prior Velho, Portugal, and the colocation data center is  carrier neutral. The data center was last updated on 01-12-2016.",Itconic Data Center Lisbon,Portugal,,2685-378,"Prior Velho, Lisboa",Itconic Data Center Lisbon,Itconic S.A
"
	Itconic Data Center Madrid 1 is located in the area Madrid, Spain (España), and the colocation data center is  carrier neutral. The data center was last updated on 01-12-2016.",Itconic Data Center Madrid 1,Spain,,28050,Madrid,Itconic Data Center Madrid 1,Itconic S.A
"
	Level 3 Berlin is located in the area Berlin, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Berlin,Germany,,12347,Berlin,Level 3 Berlin,Level 3 Communications
"
	Level 3 Amsterdam is located in the area Amsterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Amsterdam,The Netherlands,,1105,Amsterdam,Level 3 Amsterdam,Level 3 Communications
"
	Level 3 Stamford is located in the area Stamford, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 17-12-2014.",Level 3 Stamford,USA,Connecticut,06902,Stamford,Level 3 Stamford,Level 3 Communications
"
	Level 3 Tampa 1 is located in the area Tampa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 17-12-2014.",Level 3 Tampa 1,USA,Florida,33614,Tampa,Level 3 Tampa 1,Level 3 Communications
"
	Level 3 Seattle is located in the area Seattle, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Seattle,USA,Washington,98109,Seattle,Level 3 Seattle,Level 3 Communications
"
	Level 3 St. Louis 1 is located in the area St. Louis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 17-12-2014.",Level 3 St. Louis 1,USA,Missouri,63101,St. Louis,Level 3 St. Louis 1,Level 3 Communications
"
	Level 3 Brussels is located in the area Brussels (Bruxelles), Belgium, and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Brussels,Belgium,,1140,Evere,Level 3 Brussels,Level 3 Communications
"
	Level 3 San Francisco 1 is located in the area San Francisco, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-12-2014.",Level 3 San Francisco 1,USA,California,94107,San Francisco,Level 3 San Francisco 1,Level 3 Communications
"
	Level 3 Hamburg is located in the area Hamburg, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Hamburg,Germany,,20537,Hamburg,Level 3 Hamburg,Level 3 Communications
"
	Level 3 Frankfurt is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Frankfurt,Germany,,60489,Frankfurt,Level 3 Frankfurt,Level 3 Communications
"
	Level 3 London #2 is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 London #2,United Kingdom,,EC1V 7EB,London,Level 3 London #2,Level 3 Communications
"
	Level 3 Munich is located in the area Munich (Münich), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Munich,Germany,,81829,München,Level 3 Munich,Level 3 Communications
"
	Level 3 Chicago 3 is located in the area Chicago, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 19-11-2014.",Level 3 Chicago 3,USA,Illinois,60601,Chicago,Level 3 Chicago 3,Level 3 Communications
"
	Level 3 Washington DC is located in the area Washington D.C., USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 08-10-2007.",Level 3 Washington DC,USA,District of Columbia,22102,McLean,Level 3 Washington DC,Level 3 Communications
"
	Level 3 San Jose is located in the area San Jose, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 San Jose,USA,California,98108,Sunnyvale,Level 3 San Jose,Level 3 Communications
"
	Level 3 Raleigh 2 is located in the area Raleigh, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 11-12-2014.",Level 3 Raleigh 2,USA,North Carolina,27606,Raleigh,Level 3 Raleigh 2,Level 3 Communications
"
	Level 3 San Diego 1 is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-12-2014.",Level 3 San Diego 1,USA,California,92123,San Diego,Level 3 San Diego 1,Level 3 Communications
"
	Level 3 Dallas is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Dallas,USA,Texas,75247,Dallas,Level 3 Dallas,Level 3 Communications
"
	Level 3 Atlanta is located in the area Atlanta, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Level 3 Atlanta,USA,Georgia,30308,Atlanta,Level 3 Atlanta,Level 3 Communications
